character,pinyin,translation,category,level
接着,jiē zhe,to continue,Verb/Adverb,4
结果,jiē guǒ,result,Noun/Conjunction,4
节假日,jié jià rì,festivals and holidays,Noun,4
节约,jié yuē,to save,Verb,4
结账,jié zhàng,to pay the bill,Verb,4
解释,jiě shì,to explain,Verb,4
今后,jīn hòu,from now on,Noun,4
仅,jǐn,only,Adverb,4
尽管,jǐn guǎn,although,Conjunction,4
仅仅,jǐn jǐn,only,Adverb,4
紧张,jǐn zhāng,nervous,Adjective,4
进入,jìn rù,to enter,Verb,4
进行,jìn xíng,to carry out,Verb,4
禁止,jìn zhǐ,to prohibit,Verb,4
精彩,jīng cǎi,brilliant,Adjective,4
经济,jīng jì,economy,Noun/Adjective,4
京剧,jīng jù,Beijing opera,Noun,4
经历,jīng lì,to experience,Noun/Verb,4
经验,jīng yàn,experience,Noun,4
警察,jǐng chá,police,Noun,4
景点,jǐng diǎn,scenic spot,Noun,4
景区,jǐng qū,scenic area,Noun,4
景色,jǐng sè,scenery,Noun,4
竟然,jìng rán,unexpectedly,Adverb,4
竞争,jìng zhēng,to compete,Verb,4
镜子,jìng zi,mirror,Noun,4
究竟,jiū jìng,actually,Noun/Adverb,4
就是,jiù shi,precisely,Adverb/Conjunction,4
举,jǔ,to raise,Verb,4
举办,jǔ bàn,to hold,Verb,4
举例,jǔ lì,to give an example,Verb,4
举行,jǔ xíng,to hold,Verb,4
聚,jù,to gather,Verb,4
聚餐,jù cān,to have a dinner together,Verb,4
聚会,jù huì,to get together,Noun/Verb,4
拒绝,jù jué,to refuse,Verb,4
距离,jù lí,to be away from,Noun/Verb,4
剧院,jù yuàn,theater,Noun,4
开玩笑,kāi wán xiào,to make fun of,Verb,4
看法,kàn fǎ,view,Noun,4
烤,kǎo,to bake,Verb,4
考虑,kǎo lǜ,to consider,Verb,4
考生,kǎo shēng,examinee,Noun,4
棵,kē,measure word for trees/plants,Classifier,4
科技,kē jì,science and technology,Noun,4
科学,kē xué,science,Noun/Adjective,4
咳,ké,to cough,Verb,4
咳嗽,ké sou,to cough,Verb,4
可惜,kě xī,regrettable,Adjective,4
克,kè,gram,Classifier,4
课程,kè chéng,curriculum,Noun,4
客气,kè qi,polite,Verb/Adjective,4
课堂,kè táng,classroom,Noun,4
客厅,kè tīng,living room,Noun,4
肯定,kěn dìng,to be certain; certainly; definitely,Verb/Adjective/Adverb,4
空,kōng,empty,Adjective/Adverb,4
空气,kōng qì,atmosphere,Noun,4
恐怕,kǒng pà,to fear,Verb/Adverb,4
空,kòng,to leave empty; empty space,Noun/Verb/Adjective,4
口语,kǒu yǔ,spoken language,Noun,4
苦,kǔ,bitter,Adjective,4
快餐,kuài cān,fast food,Noun,4
快递,kuài dì,express delivery,Noun,4
快速,kuài sù,fast,Adjective,4
困,kùn,sleepy,Verb/Adjective,4
困难,kùn nán,difficult,Noun/Adjective,4
拉,lā,to pull,Verb,4
垃圾,lā jī,garbage,Noun,4
辣,là,hot,Adjective,4
来不及,lái bu jí,there's not enough time,Verb,4
来得及,lái de jí,there's still time,Verb,4
懒,lǎn,lazy,Adjective,4
浪费,làng fèi,to waste,Verb,4
浪漫,làng màn,romantic,Adjective,4
老虎,lǎo hǔ,tiger,Noun,4
老家,lǎo jiā,hometown,Noun,4
老年,lǎo nián,elderly,Noun,4
老是,lǎo shi,always,Adverb,4
冷静,lěng jìng,calm,Adjective,4
理发,lǐ fà,to have a haircut,Verb,4
理解,lǐ jiě,to understand,Verb,4
礼貌,lǐ mào,courtesy,Noun/Adjective,4
理想,lǐ xiǎng,ideal,Noun/Adjective,4
厉害,lì hai,severe,Adjective,4
力气,lì qi,strength,Noun,4
例如,lì rú,for example,Verb,4
例子,lì zi,example,Noun,4
俩,liǎ,two,Number-Classifier,4
连,lián,to connect,Verb/Adverb,4
联系,lián xì,to contact,Verb,4
凉,liáng,cool,Adjective,4
量,liáng,to measure,Verb,4
两,liǎng,measure word for vehicles/animals,Classifier,4
亮,liàng,bright,Verb/Adjective,4
列,liè,to arrange in a row,Verb/Classifier,4
零下,líng xià,below zero,Phrase,4
零花钱,líng huā qián,pocket money,Noun,4
零钱,líng qián,change,Noun,4
零食,líng shí,snacks,Noun,4
另,lìng,other,Adverb/Pronoun,4
另外,lìng wài,other,Adverb/Pronoun/Conjunction,4
留,liú,to stay,Verb,4
流,liú,to flow,Verb,4
流利,liú lì,fluent,Adjective,4
留下,liú xià,to leave behind,Verb,4
流行,liú xíng,to be popular,Verb,4
路过,lù guò,to pass by,Verb,4
旅馆,lǚ guǎn,hotel,Noun,4
旅客,lǚ kè,traveler,Noun,4
旅行,lǚ xíng,to travel,Verb,4
律师,lǜ shī,lawyer,Noun,4
乱,luàn,messy,Adjective/Adverb,4
落,luò,to fall,Verb,4
麻烦,má fan,troublesome,Noun/Verb/Adjective,4
馒头,mán tou,steamed bun,Noun,4
满,mǎn,full,Verb/Adjective,4
毛巾,máo jīn,towel,Noun,4
毛衣,máo yī,sweater,Noun,4
帽子,mào zi,hat,Noun,4
美,měi,beautiful,Adjective,4
美好,měi hǎo,beautiful,Adjective,4
美景,měi jǐng,beautiful scenery,Noun,4
美丽,měi lì,beautiful,Adjective,4
美食,měi shí,delicious food,Noun,4
梦,mèng,dream,Noun/Verb,4
梦想,mèng xiǎng,to dream,Noun/Verb,4
密码,mì mǎ,password,Noun,4
免费,miǎn fèi,free of charge,Verb,4
面对,miàn duì,to face,Verb,4
面试,miàn shì,to interview,Noun/Verb,4
秒,miǎo,second,Classifier,4
民族,mín zú,ethnic group,Noun,4
末,mò,end,Noun,4
母女,mǔ nǚ,mother and daughter,Noun,4
母亲,mǔ qīn,mother,Noun,4
母子,mǔ zǐ,mother and son,Noun,4
目标,mù biāo,goal,Noun,4
目的,mù dì,purpose,Noun,4
目的地,mù dì dì,destination,Noun,4
目前,mù qián,currently,Noun,4
耐心,nài xīn,patient,Noun/Adjective,4
南部,nán bù,southern part,Noun,4
难道,nán dào,could it be that...?,Adverb,4
男士,nán shì,man,Noun,4
难受,nán shòu,uncomfortable,Adjective,4
难忘,nán wàng,unforgettable,Verb,4
男性,nán xìng,male,Noun,4
内,nèi,inside,Noun,4
内容,nèi róng,content,Noun,4
内心,nèi xīn,heart,Noun,4
能否,néng fǒu,whether or not,Phrase,4
能够,néng gòu,can,Verb,4
能力,néng lì,ability,Noun,4
嗯,ng,uh-huh,Interjection,4
年底,nián dǐ,end of the year,Noun,4
年龄,nián líng,age,Noun,4
农村,nóng cūn,rural area,Noun,4
弄,nòng,to do,Verb,4
女性,nǚ xìng,female,Noun,4
暖和,nuǎn huo,warm,Verb/Adjective,4
偶尔,ǒu ěr,occasionally,Adjective/Adverb,4
拍,pāi,to pat,Noun/Verb,4
排,pái,to line up,Noun/Verb/Classifier,4
牌,pái,card,Noun,4
排队,pái duì,to line up,Verb,4
排球,pái qiú,volleyball,Noun,4
牌子,pái zi,brand,Noun,4
判断,pàn duàn,to judge,Verb,4
陪,péi,to accompany,Verb,4
批评,pī píng,to criticize,Verb,4
皮肤,pí fū,skin,Noun,4
脾气,pí qi,temperament,Noun,4
皮鞋,pí xié,leather shoes,Noun,4
篇,piān,measure word for essays/articles/papers,Classifier,4
片,piàn,piece,Noun/Classifier,4
乒乓球,pīng pāng qiú,table tennis,Noun,4
平常,píng cháng,ordinary,Noun/Adjective,4
破,pò,broken,Verb/Adjective,4
葡萄,pú tao,grape,Noun,4
葡萄酒,pú tao jiǔ,wine,Noun,4
普遍,pǔ biàn,widespread,Adjective,4
普通,pǔ tōng,ordinary,Adjective,4
普通话,pǔ tōng huà,Mandarin Chinese,Noun,4
期,qī,period,Classifier,4
期末,qī mò,end of term,Noun,4
期中,qī zhōng,midterm,Noun,4
其次,qí cì,next,Pronoun,4
其中,qí zhōng,among them,Noun,4
起到,qǐ dào,to play the role of,Verb,4
气,qì,air,Noun/Verb,4
气候,qì hòu,climate,Noun,4
汽水,qì shuǐ,soda,Noun,4
气温,qì wēn,air temperature,Noun,4
千克,qiān kè,kilogram,Classifier,4
千万,qiān wàn,ten million,Adverb,4
签证,qiān zhèng,visa,Noun/Verb,4
前方,qián fāng,ahead,Noun,4
前后,qián hòu,front and back,Noun,4
强,qiáng,strong,Adjective,4
敲,qiāo,to knock,Verb,4
桥,qiáo,bridge,Noun,4
巧,qiǎo,skillful,Adjective,4
巧克力,qiǎo kè lì,chocolate,Noun,4
亲戚,qīn qi,relative,Noun,4
琴,qín,musical instrument,Noun,4
轻,qīng,light,Adjective,4
青年,qīng nián,youth,Noun,4
轻松,qīng sōng,relaxed,Adjective,4
情况,qíng kuàng,situation,Noun,4
庆祝,qìng zhù,to celebrate,Verb,4
球队,qiú duì,sports team,Noun,4
球迷,qiú mí,fan,Noun,4
区,qū,district,Noun,4
区别,qū bié,difference,Noun/Verb,4
取,qǔ,to take,Verb,4
取得,qǔ dé,to obtain,Verb,4
取消,qǔ xiāo,to cancel,Verb,4
全,quán,whole,Adjective/Adverb,4
全部,quán bù,all,Noun,4
全都,quán dōu,all,Adverb,4
全球,quán qiú,the whole world,Noun,4
全身,quán shēn,whole body,Noun,4
缺,quē,to lack,Verb,4
缺点,quē diǎn,shortcoming,Noun,4
缺少,quē shǎo,to lack,Verb,4
却,què,but,Adverb,4
确实,què shí,indeed,Adverb,4
然而,rán ér,however,Conjunction,4
热闹,rè nao,lively,Noun/Verb/Adjective,4
人生,rén shēng,life,Noun,4
人数,rén shù,number of people,Noun,4
人员,rén yuán,personnel,Noun,4
任何,rèn hé,any,Pronoun,4
任务,rèn wu,task,Noun,4
扔,rēng,to throw,Verb,4
仍,réng,still,Adverb,4
仍然,réng rán,still,Adverb,4
日常,rì cháng,daily,Adjective,4
日记,rì jì,diary,Noun,4
日期,rì qī,date,Noun,4
日子,rì zi,day,Noun,4
入,rù,to enter,Verb,4
入口,rù kǒu,entrance,Noun,4
入学,rù xué,to enter school,Verb,4
入住,rù zhù,to check in,Verb,4
散步,sàn bù,to take a walk,Verb,4
扫码,sǎo mǎ,to scan a code,Verb,4
森林,sēn lín,forest,Noun,4
商量,shāng liang,to discuss,Verb,4
商品,shāng pǐn,product,Noun,4
伤心,shāng xīn,sad,Adjective,4
上门,shàng mén,to visit,Verb,4
稍,shāo,a little,Adverb,4
稍微,shāo wēi,a little,Adverb,4
少见,shǎo jiàn,rare,Adjective,4
少量,shǎo liàng,small amount,Adjective,4
少数,shǎo shù,minority,Noun,4
少年,shào nián,juvenile,Noun,4
社会,shè huì,society,Noun,4
摄氏度,shè shì dù,degrees Celsius,Classifier,4
身,shēn,body,Noun/Classifier,4
深,shēn,deep,Adjective/Adverb,4
身份证,shēn fèn zhèng,ID card,Noun,4
申请,shēn qǐng,to apply,Verb,4
甚至,shèn zhì,even,Conjunction,4
生,shēng,to give birth; extremely; terribly,Verb/Adjective/Adverb,4
生命,shēng mìng,life,Noun,4
生意,shēng yì,business,Noun,4
省,shěng,province,Noun,4
剩,shèng,to be left over,Verb,4
失败,shī bài,to fail,Verb/Adjective,4
师傅,shī fu,master,Noun,4
失去,shī qù,to lose,Verb,4
师生,shī shēng,teacher and student,Noun,4
失望,shī wàng,to be disappointed,Verb/Adjective,4
十分,shí fēn,very,Adverb,4
实际,shí jì,reality,Noun/Adjective,4
时间表,shí jiān biǎo,schedule,Noun,4
实际上,shí jì shàng,actually,Adverb,4
食品,shí pǐn,food,Noun,4
食堂,shí táng,cafeteria,Noun,4
食物,shí wù,food,Noun,4
实在,shí zài,honest,Adjective/Adverb,4
十字路口,shí zì lù kǒu,intersection,Noun,4
使,shǐ,to make,Verb,4
使馆,shǐ guǎn,embassy,Noun,4
使用,shǐ yòng,to use,Verb,4
市场,shì chǎng,market,Noun,4
是否,shì fǒu,whether or not,Adverb,4
适合,shì hé,to suit,Verb,4
世纪,shì jì,century,Noun,4
视频,shì pín,video,Noun,4
市区,shì qū,urban area,Noun,4
试题,shì tí,test questions,Noun,4
适应,shì yìng,to adapt,Verb,4
收费,shōu fèi,to charge a fee,Verb,4
收入,shōu rù,to receive,Noun/Verb,4
收拾,shōu shi,to put in order,Verb,4
收听,shōu tīng,to listen in,Verb,4
首,shǒu,measure word for songs/poems,Classifier,4
首都,shǒu dū,capital,Noun,4
首先,shǒu xiān,first,Adverb/Pronoun,4
受不了,shòu bu liǎo,to be unable to bear,Verb,4
售票员,shòu piào yuán,ticket seller,Noun,4
受伤,shòu shāng,to be injured,Verb,4
输,shū,to lose,Verb,4
熟,shú,ripe,Adjective,4
熟悉,shú xī,to be familiar with,Verb,4
暑假,shǔ jià,summer vacation,Noun,4
数,shù,number,Noun/Adjective,4
数量,shù liàng,quantity,Noun,4
树林,shù lín,woods,Noun,4
数字,shù zì,digit,Noun,4
帅,shuài,handsome,Adjective,4
顺便,shùn biàn,conveniently,Adverb,4
顺利,shùn lì,smooth,Adjective,4
顺序,shùn xù,order,Noun,4
说法,shuō fǎ,way of saying something,Noun,4
说明,shuō míng,to explain,Noun/Verb,4
说明书,shuō míng shū,instruction manual,Noun,4
硕士,shuò shì,master's degree,Noun,4
死,sǐ,to die,Verb/Adjective/Adverb,4
速度,sù dù,speed,Noun,4
塑料,sù liào,plastic,Noun,4
酸,suān,sour,Adjective,4
酸奶,suān nǎi,yogurt,Noun,4
算,suàn,to calculate,Verb/Adverb,4
随便,suí biàn,to do as one pleases,Verb/Adjective/Conjunction,4
随着,suí zhe,along with,Preposition,4
孙女,sūn nǚ,granddaughter,Noun,4
孙子,sūn zi,grandson,Noun,4
所有,suǒ yǒu,all,Noun/Verb/Adjective,4
台,tái,measure word for machines/vehicles,Noun/Classifier,4
抬,tái,to lift,Verb,4
抬头,tái tóu,to raise one's head,Verb,4
态度,tài du,attitude,Noun,4
弹,tán,to play (instrument),Verb,4
谈,tán,to talk,Verb,4
汤,tāng,soup,Noun,4
躺,tǎng,to lie down,Verb,4
趟,tàng,measure word for trips,Classifier,4
讨论,tǎo lùn,to discuss,Verb,4
讨厌,tǎo yàn,disgusting,Verb/Adjective,4
特点,tè diǎn,characteristic,Noun,4
提,tí,to carry,Verb,4
提出,tí chū,to put forward,Verb,4
提到,tí dào,to mention,Verb,4
提供,tí gōng,to provide,Verb,4
提前,tí qián,to advance,Verb,4
提醒,tí xǐng,to remind,Verb,4
体检,tǐ jiǎn,to undergo a physical examination,Verb,4
体温,tǐ wēn,body temperature,Noun,4
体重,tǐ zhòng,body weight,Noun,4
填写,tián xiě,to fill in,Verb,4
条件,tiáo jiàn,condition,Noun,4
听力,tīng lì,listening ability,Noun,4
听众,tīng zhòng,audience,Noun,4
停,tíng,to stop,Verb,4
停车,tíng chē,to park,Verb,4
停车场,tíng chē chǎng,parking lot,Noun,4
停止,tíng zhǐ,to stop,Verb,4
通,tōng,to go through,Verb/Classifier,4
通过,tōng guò,to pass through,Verb/Preposition,4
通知,tōng zhī,to notify,Noun/Verb,4
童年,tóng nián,childhood,Noun,4
同时,tóng shí,at the same time,Noun/Conjunction,4
同样,tóng yàng,same,Adjective,4
桶,tǒng,bucket,Noun,4
痛,tòng,painful,Adjective/Adverb,4
头痛,tóu tòng,headache,Adjective,4
图,tú,picture,Noun/Verb,4
图片,tú piàn,picture,Noun,4
土,tǔ,earth,Noun/Adjective,4
推,tuī,to push,Verb,4
推迟,tuī chí,to postpone,Verb,4
推出,tuī chū,to launch,Verb,4
脱,tuō,to take off,Verb,4
袜子,wà zi,socks,Noun,4
外出,wài chū,to go out,Verb,4
外套,wài tào,coat,Noun,4
完全,wán quán,complete,Adjective/Adverb,4
晚安,wǎn ān,good night,Verb,4
晚餐,wǎn cān,dinner,Noun,4
网购,wǎng gòu,to shop online,Verb,4
往往,wǎng wǎng,often,Adverb,4
网页,wǎng yè,webpage,Noun,4
网友,wǎng yǒu,netizen,Noun,4
网址,wǎng zhǐ,website URL,Noun,4
危险,wēi xiǎn,dangerous,Noun/Adjective,4
为,wéi,to do,Verb,4
味,wèi,taste,Noun,4
味道,wèi dào,taste,Noun,4
卫生,wèi shēng,hygiene,Noun/Adjective,4
温度,wēn dù,temperature,Noun,4
闻,wén,to smell,Verb,4
文件,wén jiàn,document,Noun,4
文章,wén zhāng,essay,Noun,4
文字,wén zì,writing,Noun,4
污染,wū rǎn,to pollute,Verb,4
无,wú,to lack,Verb,4
无法,wú fǎ,unable,Verb,4
无聊,wú liáo,boring,Adjective,4
无论,wú lùn,no matter what,Conjunction,4
午餐,wǔ cān,lunch,Noun,4
误会,wù huì,to misunderstand,Noun/Verb,4
吸,xī,to suck,Verb,4
西部,xī bù,western region,Noun,4
西红柿,xī hóng shì,tomato,Noun,4
吸引,xī yǐn,to attract,Verb,4
细,xì,thin,Adjective,4
细心,xì xīn,careful,Adjective,4
下降,xià jiàng,to decline,Verb,4
鲜,xiān,fresh,Adjective,4
鲜花,xiān huā,fresh flower,Noun,4
咸,xián,salty,Adjective,4
现金,xiàn jīn,cash,Noun,4
羡慕,xiàn mù,to envy,Verb,4
线上,xiàn shàng,online,Noun,4
线下,xiàn xià,offline,Noun,4
现有,xiàn yǒu,existing,Verb/Adjective,4
香,xiāng,fragrant,Adjective,4
相比,xiāng bǐ,to compare with,Verb,4
相反,xiāng fǎn,opposite,Adjective/Conjunction,4
相互,xiāng hù,mutual,Adverb,4
相同,xiāng tóng,same,Adjective,4
详细,xiáng xì,detailed,Adjective,4
响,xiǎng,to make a sound,Verb/Adjective,4
想法,xiǎng fǎ,thought,Noun,4
项,xiàng,measure word for projects/items,Classifier,4
消息,xiāo xi,news,Noun,4
小吃,xiǎo chī,snack,Noun,4
小伙子,xiǎo huǒ zi,young man,Noun,4
小说,xiǎo shuō,novel,Noun,4
小组,xiǎo zǔ,small group,Noun,4
效果,xiào guǒ,effect,Noun,4
笑话,xiào hua,joke,Noun/Verb,4
血,xiě,blood,Noun,4
心,xīn,heart,Noun,4
辛苦,xīn kǔ,hard,Verb/Adjective,4
心情,xīn qíng,mood,Noun,4
信号,xìn hào,signal,Noun,4
信息,xìn xī,information,Noun,4
信心,xìn xīn,confidence,Noun,4
兴奋,xīng fèn,excited,Verb/Adjective,4
星星,xīng xing,star,Noun,4
醒,xǐng,to wake up,Verb,4
性,xìng,suffix meaning nature,Suffix,4
性别,xìng bié,gender,Noun,4
幸福,xìng fú,happiness,Noun/Adjective,4
性格,xìng gé,character,Noun,4
兄弟,xiōng dì,brothers,Noun,4
熊,xióng,bear,Noun,4
修,xiū,to repair,Verb,4
修理,xiū lǐ,to repair,Verb,4
许多,xǔ duō,many,Number,4
学费,xué fèi,tuition fee,Noun,4
学院,xué yuàn,college,Noun,4
压,yā,to press,Verb,4
压力,yā lì,pressure,Noun,4
牙膏,yá gāo,toothpaste,Noun,4
亚洲,Yà zhōu,Asia,Noun,4
烟,yān,cigarette,Noun,4
盐,yán,salt,Noun,4
严格,yán gé,strict,Verb/Adjective,4
研究,yán jiū,to research,Verb,4
研究生,yán jiū shēng,graduate student,Noun,4
严重,yán zhòng,serious,Adjective,4
演,yǎn,to act,Verb,4
演唱,yǎn chàng,to sing,Verb,4
演出,yǎn chū,to perform,Verb,4
眼镜,yǎn jìng,eyeglasses,Noun,4
眼前,yǎn qián,before one's eyes,Noun,4
演员,yǎn yuán,actor,Noun,4
阳光,yáng guāng,sunlight,Noun,4
养成,yǎng chéng,to develop,Verb,4
样子,yàng zi,appearance,Noun,4
邀请,yāo qǐng,to invite,Verb,4
要是,yào shi,if,Conjunction,4
钥匙,yào shi,key,Noun,4
也许,yě xǔ,maybe,Adverb,4
夜,yè,night,Noun/Classifier,4
夜晚,yè wǎn,night,Noun,4
叶子,yè zi,leaf,Noun,4
一切,yí qiè,everything,Pronoun,4
已,yǐ,already,Adverb,4
以内,yǐ nèi,within,Noun,4
意见,yì jiàn,opinion,Noun,4
一生,yì shēng,lifetime,Noun,4
艺术,yì shù,art,Noun,4
因此,yīn cǐ,therefore,Conjunction,4
引起,yǐn qǐ,to cause,Verb,4
印象,yìn xiàng,impression,Noun,4
赢,yíng,to win,Verb,4
赢得,yíng dé,to gain,Verb,4
应聘,yìng pìn,to apply for a job,Verb,4
勇敢,yǒng gǎn,brave,Adjective,4
永远,yǒng yuǎn,forever,Noun/Adverb,4
用来,yòng lái,to be used for,Verb,4
用于,yòng yú,to be used for,Verb,4
优点,yōu diǎn,advantage,Noun,4
幽默,yōu mò,humorous,Adjective,4
优秀,yōu xiù,excellent,Adjective,4
由,yóu,by,Preposition,4
油,yóu,oil,Noun,4
尤其,yóu qí,especially,Adverb,4
游玩,yóu wán,to play,Verb,4
由于,yóu yú,because of,Conjunction/Preposition,4
友好,yǒu hǎo,friendly,Adjective,4
友情,yǒu qíng,friendship,Noun,4
有趣,yǒu qù,interesting,Adjective,4
有效,yǒu xiào,effective,Verb,4
友谊,yǒu yì,friendship,Noun,4
有着,yǒu zhe,to have,Verb,4
愉快,yú kuài,pleasant,Adjective,4
于是,yú shì,therefore,Conjunction,4
与,yǔ,with,Conjunction/Preposition,4
语法,yǔ fǎ,grammar,Noun,4
预习,yù xí,to preview,Verb,4
原来,yuán lái,original,Noun/Adjective/Adverb,4
原谅,yuán liàng,to forgive,Verb,4
原因,yuán yīn,cause,Noun,4
远离,yuǎn lí,to stay away from,Verb,4
院长,yuàn zhǎng,dean,Noun,4
院子,yuàn zi,courtyard,Noun,4
约,yuē,to make an appointment,Verb/Adverb,4
约会,yuē huì,to date,Noun/Verb,4
月饼,yuè bǐng,mooncake,Noun,4
阅读,yuè dú,to read,Verb,4
月份,yuè fèn,month,Noun,4
云,yún,cloud,Noun,4
允许,yǔn xǔ,to permit,Verb,4
杂志,zá zhì,magazine,Noun,4
再次,zài cì,once again,Adverb,4
再说,zài shuō,to put off,Verb/Conjunction,4
暂时,zàn shí,temporary,Adjective,4
暂停,zàn tíng,to suspend,Verb,4
早餐,zǎo cān,breakfast,Noun,4
早晨,zǎo chen,morning,Noun,4
责任,zé rèn,responsibility,Noun,4
增加,zēng jiā,to increase,Verb,4
增长,zēng zhǎng,to increase,Verb,4
招聘,zhāo pìn,to recruit,Verb,4
着,zháo,to touch,Verb,4
着火,zháo huǒ,to catch fire,Verb,4
者,zhě,suffix meaning person,Suffix,4
真正,zhēn zhèng,TRUE,Adjective/Adverb,4
整,zhěng,whole,Adjective,4
整个,zhěng gè,whole,Adjective,4
整理,zhěng lǐ,to arrange,Verb,4
证,zhèng,certificate,Noun,4
正常,zhèng cháng,normal,Adjective,4
正好,zhèng hǎo,exactly right,Adjective/Adverb,4
证件,zhèng jiàn,ID card,Noun,4
证明,zhèng míng,to prove,Noun/Verb,4
正确,zhèng què,correct,Adjective,4
正式,zhèng shì,formal,Adjective,4
之,zhī,auxiliary word (classical),Auxiliary,4
支持,zhī chí,to support,Verb,4
支付,zhī fù,to pay (money),Verb,4
之后,zhī hòu,after,Noun,4
之间,zhī jiān,between,Noun,4
之前,zhī qián,before,Noun,4
知识,zhī shi,knowledge,Noun,4
之中,zhī zhōng,among,Noun,4
值,zhí,to be worth,Verb/Adjective,4
值得,zhí de,to be worth,Verb,4
直接,zhí jiē,direct,Adjective,4
植物,zhí wù,plant,Noun,4
职业,zhí yè,occupation,Noun,4
指,zhǐ,to point to,Verb,4
指出,zhǐ chū,to point out,Verb,4
只好,zhǐ hǎo,have to,Adverb,4
纸巾,zhǐ jīn,tissue paper,Noun,4
质量,zhì liàng,quality,Noun,4
至少,zhì shǎo,at least,Adverb,4
中餐,zhōng cān,Chinese food,Noun,4
中年,zhōng nián,middle age,Noun,4
种,zhòng,to plant,Verb,4
重,zhòng,weight,Noun/Adjective,4
重点,zhòng diǎn,key point,Noun/Adverb,4
重视,zhòng shì,to pay attention to,Verb,4
周围,zhōu wéi,around,Noun,4
主意,zhǔ yi,idea,Noun,4
祝,zhù,to wish,Verb,4
祝贺,zhù hè,to congratulate,Verb,4
著名,zhù míng,famous,Adjective,4
专门,zhuān mén,specially,Adjective/Adverb,4
专业,zhuān yè,specialty,Noun/Adjective,4
转,zhuǎn,to turn,Verb,4
转发,zhuǎn fā,to forward (a message),Verb,4
转机,zhuǎn jī,to transfer (flight),Verb,4
赚,zhuàn,to earn,Verb,4
装,zhuāng,to load,Verb,4
准,zhǔn,accurate,Adjective/Adverb,4
准确,zhǔn què,accurate,Adjective,4
准时,zhǔn shí,on time,Adjective,4
资料,zī liào,materials,Noun,4
仔细,zǐ xì,careful,Adjective,4
自,zì,from,Preposition,4
自然,zì rán,nature,Noun/Adjective/Adverb,4
自习,zì xí,to study on one's own,Verb,4
自信,zì xìn,to believe in oneself,Noun/Verb/Adjective,4
自学,zì xué,to teach oneself,Verb,4
总结,zǒng jié,to summarize,Noun/Verb,4
租,zū,to rent,Verb,4
组,zǔ,group,Noun/Verb/Classifier,4
最终,zuì zhōng,final,Noun,4
尊重,zūn zhòng,to respect,Verb/Adjective,4
左右,zuǒ yòu,about,Noun/Verb,4
座,zuò,seat,Noun/Classifier,4
做法,zuò fǎ,way of doing things,Noun,4
作家,zuò jiā,writer,Noun,4
做梦,zuò mèng,to dream,Verb,4
作品,zuò pǐn,work,Noun,4
作为,zuò wéi,to act as,Verb/Preposition,4
座位,zuò wèi,seat,Noun,4
作文,zuò wén,composition,Noun/Verb,4
作用,zuò yòng,function,Noun/Verb,4
作者,zuò zhě,author,Noun,4
哎,āi,hey,Interjection,5
哎呀,āi yā,oh my,Interjection,5
唉,ài,alas,Interjection,5
爱护,ài hù,to cherish,Verb,5
安,ān,peaceful,Verb/Adjective,5
安全带,ān quán dài,seatbelt,Noun,5
安慰,ān wèi,to comfort,Verb/Adjective,5
安装,ān zhuāng,to install,Verb,5
暗,àn,dark,Adjective,5
熬夜,áo yè,to stay up late,Verb,5
把握,bǎ wò,to grasp,Noun/Verb,5
白,bái,white,Adjective/Adverb,5
半夜,bàn yè,midnight,Noun/Number-Classifier,5
傍晚,bàng wǎn,evening,Noun,5
包裹,bāo guǒ,to wrap,Noun/Verb,5
包含,bāo hán,to contain,Verb,5
包括,bāo kuò,to include,Verb,5
包装,bāo zhuāng,to pack,Noun/Verb,5
薄,báo,thin,Adjective,5
宝,bǎo,treasure,Noun,5
保,bǎo,to protect,Noun/Verb,5
保安,bǎo ān,to ensure safety,Noun/Verb,5
宝贝,bǎo bèi,treasure,Noun,5
保持,bǎo chí,to keep,Verb,5
保存,bǎo cún,to preserve,Verb,5
宝贵,bǎo guì,precious,Adjective,5
保留,bǎo liú,to retain,Verb,5
保险,bǎo xiǎn,insurance,Noun/Adjective,5
保质期,bǎo zhì qī,shelf life,Noun,5
报到,bào dào,to report for duty,Verb,5
报道,bào dào,to report news,Noun/Verb,5
报告,bào gào,to report,Noun/Verb,5
报警,bào jǐng,to report to the police,Verb,5
暴雨,bào yǔ,torrential rain,Noun,5
抱怨,bào yuàn,to complain,Verb,5
背,bèi,back,Noun/Verb/Adjective,5
背后,bèi hòu,behind,Noun,5
背景,bèi jǐng,background,Noun,5
被子,bèi zi,blanket,Noun,5
本,běn,originally,Adverb/Pronoun,5
本地,běn dì,local area,Noun,5
本领,běn lǐng,skill,Noun,5
本人,běn rén,oneself,Pronoun,5
本质,běn zhì,essence,Noun,5
彼此,bǐ cǐ,each other,Pronoun,5
比分,bǐ fēn,score,Noun,5
比例,bǐ lì,proportion,Noun,5
比喻,bǐ yù,to compare to,Noun/Verb,5
必,bì,certainly,Adverb,5
毕竟,bì jìng,after all,Adverb,5
避免,bì miǎn,to avoid,Verb,5
闭幕式,bì mù shì,closing ceremony,Noun,5
必然,bì rán,inevitable,Noun/Adjective,5
必需,bì xū,essential,Verb,5
必要,bì yào,necessary,Adjective,5
便,biàn,then,Adverb,5
变动,biàn dòng,to change,Verb,5
便利,biàn lì,convenient,Verb/Adjective,5
便利店,biàn lì diàn,convenience store,Noun,5
